timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:53:47.4072690Z,64.461443,13.000000,13
2026-07-17T15:53:48.0405666Z,62.503527,29.000000,13
2026-07-17T15:53:48.6400605Z,66.027917,29.000000,13
2026-07-17T15:53:49.2405624Z,65.049753,37.000000,13
2026-07-17T15:53:49.8408468Z,67.025522,38.000000,13
2026-07-17T15:53:50.4560167Z,63.075393,19.000000,13
2026-07-17T15:53:51.0724121Z,63.161230,24.000000,13
2026-07-17T15:53:51.6733557Z,64.568594,27.000000,13
2026-07-17T15:53:52.2883291Z,65.636308,27.000000,13
2026-07-17T15:53:52.8899776Z,65.791460,20.000000,13
2026-07-17T15:53:53.4892687Z,66.050261,28.000000,13
2026-07-17T15:53:54.0906936Z,66.681919,35.000000,13
2026-07-17T15:53:54.6909539Z,64.859015,20.000000,13
2026-07-17T15:53:55.2891403Z,65.954567,23.000000,13
2026-07-17T15:53:55.8873347Z,67.477367,16.000000,13
