timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T16:34:15.6852247Z,22.551405,8.000000,13,0.000000,411.234375
2026-07-18T16:34:16.3350274Z,64.923553,16.000000,13,0.000000,411.621094
2026-07-18T16:34:16.9501511Z,65.196914,14.000000,13,0.000000,411.234375
2026-07-18T16:34:17.5502302Z,67.048452,12.000000,13,0.000000,411.234375
2026-07-18T16:34:18.1681999Z,65.318062,12.000000,13,0.000000,411.621094
2026-07-18T16:34:18.7852961Z,66.887532,16.000000,13,0.000000,411.234375
2026-07-18T16:34:19.4005389Z,66.242479,17.000000,13,0.000000,411.234375
2026-07-18T16:34:20.0029491Z,67.437437,16.000000,13,0.000000,411.234375
2026-07-18T16:34:20.6182566Z,65.812284,16.000000,13,0.000000,411.234375
2026-07-18T16:34:21.2181358Z,65.768450,12.000000,13,0.000000,411.234375
2026-07-18T16:34:21.8348557Z,66.294953,13.000000,13,0.000000,411.234375
2026-07-18T16:34:22.4514630Z,65.462383,14.000000,13,0.000000,411.234375
2026-07-18T16:34:23.0672270Z,67.243701,14.000000,13,0.000000,411.234375
2026-07-18T16:34:23.6838336Z,65.462457,14.000000,13,0.000000,411.621094
2026-07-18T16:34:24.3019669Z,66.564661,15.000000,13,0.000000,411.234375
