timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T16:34:42.8011701Z,23.296598,4.000000,13,0.000000,409.980469
2026-07-18T16:34:43.5012502Z,65.840680,12.000000,13,0.000000,410.367188
2026-07-18T16:34:44.1512105Z,65.308476,12.000000,13,0.000000,409.980469
2026-07-18T16:34:44.8011849Z,66.509030,12.000000,13,0.000000,409.980469
2026-07-18T16:34:45.4678621Z,61.327156,12.000000,13,0.000000,411.242188
2026-07-18T16:34:46.1345112Z,65.431412,12.000000,13,0.000000,411.242188
2026-07-18T16:34:46.8002145Z,66.502349,16.000000,13,0.000000,411.242188
2026-07-18T16:34:47.4683232Z,63.339556,12.000000,13,0.000000,411.242188
2026-07-18T16:34:48.1177619Z,65.360929,16.000000,13,0.000000,411.242188
2026-07-18T16:34:48.7678188Z,67.101498,16.000000,13,0.000000,411.242188
2026-07-18T16:34:49.4178034Z,64.905384,12.000000,13,0.000000,411.628906
2026-07-18T16:34:50.0853151Z,66.322183,12.000000,13,0.000000,411.242188
2026-07-18T16:34:50.7184370Z,65.400123,12.000000,13,0.000000,411.242188
2026-07-18T16:34:51.3677413Z,65.976063,12.000000,13,0.000000,411.242188
2026-07-18T16:34:52.0177393Z,66.306294,12.000000,13,0.000000,411.242188
2026-07-18T16:34:52.6676896Z,65.910488,12.000000,13,0.000000,411.242188
2026-07-18T16:34:53.3177112Z,67.305456,12.000000,13,0.000000,411.242188
