timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:56:23.8058118Z,1.734173,99.000000,13
2026-07-17T15:56:24.4721605Z,1.758651,100.000000,13
2026-07-17T15:56:25.1048752Z,2.469517,98.000000,13
2026-07-17T15:56:25.7720753Z,2.341876,97.000000,13
2026-07-17T15:56:26.4212735Z,1.604543,93.000000,13
2026-07-17T15:56:27.0862690Z,2.545443,99.000000,13
2026-07-17T15:56:27.7368634Z,2.601787,97.000000,13
2026-07-17T15:56:28.4079123Z,1.552296,91.000000,13
2026-07-17T15:56:29.0398777Z,2.266408,96.000000,13
2026-07-17T15:56:29.6718245Z,2.266475,92.000000,13
2026-07-17T15:56:30.2868986Z,1.905258,91.000000,13
2026-07-17T15:56:30.9384435Z,2.198301,95.000000,13
2026-07-17T15:56:31.6067507Z,1.948331,95.000000,13
2026-07-17T15:56:32.2728665Z,2.345688,99.000000,13
2026-07-17T15:56:32.9201782Z,2.212677,95.000000,13
2026-07-17T15:56:33.5403563Z,1.469672,98.000000,13
2026-07-17T15:56:34.2211895Z,2.103734,90.000000,13
2026-07-17T15:56:34.8562449Z,2.255381,98.000000,13
2026-07-17T15:56:35.4882415Z,2.060270,96.000000,13
2026-07-17T15:56:36.1232399Z,1.845477,99.000000,13
2026-07-17T15:56:36.8056900Z,2.289545,95.000000,13
2026-07-17T15:56:37.4368525Z,2.269291,98.000000,13
2026-07-17T15:56:38.0896087Z,1.795272,93.000000,13
2026-07-17T15:56:38.7561146Z,2.539675,95.000000,13
2026-07-17T15:56:39.4217090Z,1.956271,0.000000,13
