timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:56:47.3715008Z,0.692570,96.000000,13
2026-07-17T15:56:48.0382792Z,2.733917,98.000000,13
2026-07-17T15:56:48.6713704Z,2.262378,97.000000,13
2026-07-17T15:56:49.3105139Z,1.629785,94.000000,13
2026-07-17T15:56:49.9746054Z,2.352838,98.000000,13
2026-07-17T15:56:50.6194042Z,2.221300,95.000000,13
2026-07-17T15:56:51.3073427Z,1.892732,97.000000,13
2026-07-17T15:56:51.9915604Z,2.093327,100.000000,13
2026-07-17T15:56:52.6392970Z,2.412246,98.000000,13
2026-07-17T15:56:53.3032437Z,2.353352,100.000000,13
2026-07-17T15:56:53.9742368Z,1.746478,98.000000,13
2026-07-17T15:56:54.6061943Z,2.266437,94.000000,13
2026-07-17T15:56:55.2861210Z,2.298042,98.000000,13
2026-07-17T15:56:55.9561096Z,1.749097,100.000000,13
2026-07-17T15:56:56.6227690Z,2.343776,93.000000,13
2026-07-17T15:56:57.2718542Z,2.206631,98.000000,13
2026-07-17T15:56:57.9211829Z,2.005276,99.000000,13
2026-07-17T15:56:58.5618568Z,1.829129,96.000000,13
2026-07-17T15:56:59.1880307Z,2.287370,93.000000,13
2026-07-17T15:56:59.8228426Z,1.846019,93.000000,13
2026-07-17T15:57:00.4714010Z,2.609955,98.000000,13
2026-07-17T15:57:01.1379985Z,2.343993,97.000000,13
2026-07-17T15:57:01.7891872Z,1.999548,96.000000,13
2026-07-17T15:57:02.4557015Z,2.344286,94.000000,13
