timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T05:18:37.3201099Z,22.392203,0.000000,0,0.000000,0.000000
2026-07-18T05:18:37.9910756Z,65.204525,0.000000,0,0.000000,0.000000
2026-07-18T05:18:38.6350306Z,66.321922,0.000000,0,0.000000,0.000000
2026-07-18T05:18:39.3387453Z,62.170081,0.000000,0,0.000000,0.000000
2026-07-18T05:18:39.9879647Z,63.979078,0.000000,0,0.000000,0.000000
2026-07-18T05:18:40.6554782Z,66.907199,0.000000,0,0.000000,0.000000
2026-07-18T05:18:41.3148439Z,66.351647,0.000000,0,0.000000,0.000000
2026-07-18T05:18:41.9719919Z,66.377424,0.000000,0,0.000000,0.000000
2026-07-18T05:18:42.6202478Z,66.886202,0.000000,0,0.000000,0.000000
2026-07-18T05:18:43.2896364Z,66.719777,0.000000,0,0.000000,0.000000
2026-07-18T05:18:43.9370444Z,64.962576,0.000000,0,0.000000,0.000000
2026-07-18T05:18:44.5879434Z,67.014685,0.000000,0,0.000000,0.000000
2026-07-18T05:18:45.2368349Z,66.018035,0.000000,0,0.000000,0.000000
