timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:56:04.5221394Z,63.667090,22.000000,13
2026-07-17T15:56:05.1887533Z,64.848883,22.000000,13
2026-07-17T15:56:05.8029688Z,65.717298,22.000000,13
2026-07-17T15:56:06.4220851Z,66.038346,40.000000,13
2026-07-17T15:56:07.0388113Z,65.027506,19.000000,13
2026-07-17T15:56:07.6720741Z,65.179956,29.000000,13
2026-07-17T15:56:08.3054607Z,61.672445,25.000000,13
2026-07-17T15:56:08.9364581Z,62.525020,37.000000,13
2026-07-17T15:56:09.5565417Z,65.935330,16.000000,13
2026-07-17T15:56:10.1713580Z,66.288432,26.000000,13
2026-07-17T15:56:10.7854094Z,65.946909,17.000000,13
2026-07-17T15:56:11.4033759Z,66.582628,9.000000,13
2026-07-17T15:56:12.0063184Z,65.434308,17.000000,13
2026-07-17T15:56:12.6380096Z,66.785005,29.000000,13
2026-07-17T15:56:13.2719672Z,65.313911,22.000000,13
2026-07-17T15:56:13.8880428Z,67.632392,43.000000,13
2026-07-17T15:56:14.5370084Z,65.408577,26.000000,13
2026-07-17T15:56:15.1546553Z,67.038708,22.000000,13
