timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T16:34:03.2340764Z,23.191536,8.000000,13,0.000000,411.234375
2026-07-18T16:34:03.8837280Z,64.938653,16.000000,13,0.000000,411.234375
2026-07-18T16:34:04.5007053Z,65.423126,12.000000,13,0.000000,411.234375
2026-07-18T16:34:05.1176039Z,66.064680,16.000000,13,0.000000,411.234375
2026-07-18T16:34:05.7189716Z,65.822181,16.000000,13,0.000000,411.234375
2026-07-18T16:34:06.3517173Z,66.879488,16.000000,13,0.000000,411.234375
2026-07-18T16:34:06.9684118Z,65.241988,12.000000,13,0.000000,411.621094
2026-07-18T16:34:07.5675464Z,66.936823,16.000000,13,0.000000,411.234375
2026-07-18T16:34:08.1856008Z,65.730460,16.000000,13,0.000000,411.234375
2026-07-18T16:34:08.7855104Z,67.718536,16.000000,13,0.000000,411.234375
2026-07-18T16:34:09.4006251Z,65.621230,16.000000,13,0.000000,411.234375
2026-07-18T16:34:10.0184752Z,67.016660,16.000000,13,0.000000,411.234375
2026-07-18T16:34:10.6189160Z,65.706936,16.000000,13,0.000000,411.234375
2026-07-18T16:34:11.2349458Z,65.735118,16.000000,13,0.000000,411.234375
2026-07-18T16:34:11.8502619Z,66.446200,16.000000,13,0.000000,411.234375
