timestamp_utc,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb,gpu_engine_query_ok,gpu_memory_query_ok
2026-07-30T15:21:05.0978553Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:07.0527868Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:08.7789060Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:10.5497353Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:12.2775214Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:14.0323372Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:15.7861073Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:17.5314810Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:19.2693996Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:21.0238748Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:22.7765023Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:24.5236601Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:26.2712304Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:28.0254412Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T15:21:29.7833526Z,0.000000,0,0.000000,0.000000,true,true
