timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:52:56.8451221Z,0.353157,96.000000,13
2026-07-17T15:52:57.5248855Z,2.107044,97.000000,13
2026-07-17T15:52:58.1923612Z,2.340909,93.000000,13
2026-07-17T15:52:58.8405491Z,2.209686,94.000000,13
2026-07-17T15:52:59.4731277Z,2.058374,96.000000,13
2026-07-17T15:53:00.1395115Z,2.149349,92.000000,13
2026-07-17T15:53:00.7748462Z,1.844500,97.000000,13
2026-07-17T15:53:01.4249937Z,2.403301,97.000000,13
2026-07-17T15:53:02.0601250Z,2.255111,96.000000,13
2026-07-17T15:53:02.6954945Z,2.459199,90.000000,13
2026-07-17T15:53:03.3597118Z,2.352393,100.000000,13
2026-07-17T15:53:03.9921589Z,2.264682,98.000000,13
2026-07-17T15:53:04.6420005Z,2.204063,98.000000,13
2026-07-17T15:53:05.2599967Z,1.685555,44.000000,13
