timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T16:33:50.6854043Z,22.377964,8.000000,13,0.000000,411.242188
2026-07-18T16:33:51.3497001Z,65.467196,16.000000,13,0.000000,411.242188
2026-07-18T16:33:51.9642789Z,65.678451,16.000000,13,0.000000,411.242188
2026-07-18T16:33:52.5853514Z,66.668948,12.000000,13,0.000000,411.242188
2026-07-18T16:33:53.1989235Z,65.786211,12.000000,13,0.000000,411.242188
2026-07-18T16:33:53.8179699Z,66.887151,14.000000,13,0.000000,411.242188
2026-07-18T16:33:54.4169929Z,66.079822,16.000000,13,0.000000,411.628906
2026-07-18T16:33:55.0503824Z,66.811509,16.000000,13,0.000000,411.242188
2026-07-18T16:33:55.6635777Z,66.251323,16.000000,13,0.000000,411.242188
2026-07-18T16:33:56.2850151Z,66.839328,16.000000,13,0.000000,411.628906
2026-07-18T16:33:56.8981745Z,66.042846,16.000000,13,0.000000,411.242188
2026-07-18T16:33:57.5169898Z,65.649637,16.000000,13,0.000000,411.242188
2026-07-18T16:33:58.1491458Z,65.912001,17.000000,13,0.000000,411.242188
2026-07-18T16:33:58.7606515Z,65.795585,16.000000,13,0.000000,411.242188
2026-07-18T16:33:59.3660639Z,66.672872,12.000000,13,0.000000,411.242188
