timestamp_utc,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb,gpu_engine_query_ok,gpu_memory_query_ok
2026-07-30T02:17:22.2916857Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:23.9913589Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:25.7427199Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:27.5079770Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:29.2595040Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:30.9948158Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:32.7437723Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:34.4947922Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:36.2426471Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:37.9924660Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:39.7425075Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:41.4940493Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:43.2425497Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T02:17:44.8260795Z,0.000000,0,0.000000,0.000000,true,true
