Workbook_ID,Template_Path,Commit_SHA,Historical_SHA256,Matches_Expected,Byte_Length
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,5b48d4d64c1bc0037b281abc16e710196170211b,bc412ff3049805848b651ba6a45e28ba5b1c1a13a6e8160f5f57391399c037f7,False,19216
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,c5f037389ba0cdaa466033dfeb2ae584f84fd690,bc412ff3049805848b651ba6a45e28ba5b1c1a13a6e8160f5f57391399c037f7,False,19216
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,8d02bea5342511bcd08dbfbe39b9a39cf7e5d415,bc412ff3049805848b651ba6a45e28ba5b1c1a13a6e8160f5f57391399c037f7,False,19216
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,d663fa366e469fe082d22ed5f88c2609cb6437dc,e65e22fda9ba3ddd5a653ff3307ad97018bc20f1a57db6e5d371aba171181138,False,7556
WB-05,docs/testing/workbooks/text-templates/05_Custom_OpenVINO_TurboQuant_Controlled_Retest_Workbook_v1.md,fc1edd3b80917e8eac0d2f2e1426a98fa6204a97,e65e22fda9ba3ddd5a653ff3307ad97018bc20f1a57db6e5d371aba171181138,False,7556
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,6be265ae9c3b76460939c6b4dfa7760683972fe8,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,9ea9429ff23a4a3eb7274d61ce27b8fc8f94c2a8,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,5b48d4d64c1bc0037b281abc16e710196170211b,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,c5f037389ba0cdaa466033dfeb2ae584f84fd690,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,8d02bea5342511bcd08dbfbe39b9a39cf7e5d415,efa96d1c6cb81b1aac8aa650161bae4425eec744bd49d5fec010ce86b9aa54b6,False,9960
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,d663fa366e469fe082d22ed5f88c2609cb6437dc,40edae502c4a3aeac3ea32893b894cb69265d7904e62b9ca42a7000cb34ae80b,False,8001
WB-06,docs/testing/workbooks/text-templates/06_Cross_Route_Controlled_Comparison_Workbook_v1.md,940735ede8907a478134bffdea7faca6503cccce,40edae502c4a3aeac3ea32893b894cb69265d7904e62b9ca42a7000cb34ae80b,False,8001
