Workbook_ID,Template_Path,Old_Template_SHA256,Prepared_Template_SHA256,Old_Controlled_Source_SHA256,Correct_Source_Manifest_SHA256,Source_Hash_Changed,Legacy_Output_Hash_Removed,Visible_Title_Corrected
WB-01,docs/testing/workbooks/text-templates/01_Upstream_llama.cpp_Controlled_Retest_Workbook_v1.md,6f1097bce566f4e87cb20cdc348c98b3c23d7f82ee0d53984af5412d5a671820,c0219cccfb4b90ecafcbbf059f1ea5856d1721c43acdd7f52bed85c5baccb6e4,0f25e62db330140b14a4e10eeb8da0be1e9623bbbd55ff6dc1268da3a3964f02,0f25e62db330140b14a4e10eeb8da0be1e9623bbbd55ff6dc1268da3a3964f02,False,True,False
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,95ba26ab0df875bee369effe1e5f769d91acbde58ee60fd11421fffb5ddda13f,ccc4102aae28b8b0ebd374bb7682432636b07bb34577fed9b35644d37a3f41cf,2c399f960b9a1e15e62a24fcb2208e8757db96d077df4aa6ffab1e79df7570,2c399f960b9a1e15e62a24fcb2208e8757db96d077dfdf4aa6ffab1e79df7570,True,True,False
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,dcc6fae1e25e1b9c1c1bb312d99951e04e0a73a1299f5569771784615dd35a39,9e098875e9bf42b0abf96b5ae88c16b71cf2415ffad9b00ad70317909ae0c232,1fa3528d7aa871d3570cdb93ad91d57851fcd7e7ed946ce48a98adab295d31b2,1fa3528d7aa871d3570cdb93ad91d57851fcd7e7ed946ce48a98adab295d31b2,False,True,True
