Workbook_ID,Template_Path,Expected_SHA256,Variant,Variant_SHA256,Matches_Expected,Byte_Length
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf8-lf-bom-one-final-newline,6505c465d4b6afff92200c5c7f8b82ab747ea280366a61707b723d4118b32f4e,False,13089
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf8-crlf-bom-no-final-newline,e2f40d87a79f99644e6eac3ad6e33a9d233bf4ddb1841a66e719d297a7017016,False,13324
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf8-crlf-bom-one-final-newline,9aa5d45d0c091153630e898e48ac17de60335702432a586ae810446f5bf9541d,False,13326
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf16le-lf-bom-no-final-newline,d62ddd2b9d54b4055d924475116e4b025d03f4ecb7b547f5a6c5c1937e8a52ba,False,26172
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf16le-lf-bom-one-final-newline,b6852049e7ec567b061ac1145881eb0809352a1ddd045e9da2c6bbba9be70cba,False,26174
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf16le-crlf-bom-one-final-newline,fbd0cca24b42ff0deecc5d02329cffa2838b95999c3c825adad9fe2c4c850bef,False,26648
WB-02,docs/testing/workbooks/text-templates/02_AtomicBot_TurboQuant_Controlled_Retest_Workbook_v1.md,b26c1c67f26feb3038b3a2f29b3c088eec13421ec61a0a7c42f282404df7e1f1,utf16be-lf-bom-one-final-newline,f2e1a58aff4d8bbd3fba1d60b5f40bf787e6ed071b01c17e3b4122b26d5c16a6,False,26174
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,current-repository-bytes,dcc6fae1e25e1b9c1c1bb312d99951e04e0a73a1299f5569771784615dd35a39,False,7494
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-lf-no-bom-no-final-newline,6bc16c723f8380e22139818bf0fe69f6c4f8346d09183f8a4a4050ea62da1366,False,7493
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-lf-no-bom-one-final-newline,dcc6fae1e25e1b9c1c1bb312d99951e04e0a73a1299f5569771784615dd35a39,False,7494
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-crlf-no-bom-no-final-newline,0eb2fd0b74f8789b78d8b03129f24e0290e04f480ce9ee1c0161c920162dfdcf,False,7659
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-crlf-no-bom-one-final-newline,879d2be461747492d28d9794eb9226b85507d6b3329a7929a3679e8cf1dbbde4,False,7661
WB-03,docs/testing/workbooks/text-templates/03_animehacker_TQ3_0_Controlled_Retest_Workbook_v1.md,63c55ad627e69a002b6e74c2323cf11d193a02c183c6b8cf5b6565210b28a63e,utf8-lf-bom-no-final-newline,467ba2e86feb1cdfa4474634e59eb201e97f18b7c831e9b53e43df2818146dad,False,7496
