model,weight_precision,cache_codec,status,executed,decode_tps,ttft_ms,peak_working_set_mb,kv_mb,quality_score,failure_reason
granite-30b,int8,tbq3,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,tbq3,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,polar3,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,polar3,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,polar3,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,tbq3_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,tbq3_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,tbq3_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,u4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,u4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,u4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,tbq4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,tbq4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,tbq4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,polar4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,polar4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,polar4,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,tbq4_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,tbq4_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,tbq4_qjl,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,u8,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,u8,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,u8,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
granite-30b,int4,f16,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int4
granite-30b,int8,f16,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b int8
granite-30b,fp16,f16,model_artifact_unavailable,false,,,,,,no validated OpenVINO artifact supplied for granite-30b fp16
