timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T14:42:00.8279901Z,1.662135,97.000000,13
2026-07-17T14:42:01.4939145Z,2.346362,97.000000,13
2026-07-17T14:42:02.1436018Z,1.803752,97.000000,13
2026-07-17T14:42:02.7840834Z,2.236273,97.000000,13
2026-07-17T14:42:03.4432964Z,2.172730,98.000000,13
2026-07-17T14:42:04.0936440Z,1.801921,96.000000,13
2026-07-17T14:42:04.7454845Z,1.797794,98.000000,13
2026-07-17T14:42:05.4112515Z,2.346917,96.000000,13
2026-07-17T14:42:06.0606773Z,2.606469,99.000000,13
2026-07-17T14:42:06.6621732Z,1.731793,97.000000,13
2026-07-17T14:42:07.3112288Z,2.407344,99.000000,13
2026-07-17T14:42:07.9779461Z,2.343572,95.000000,13
2026-07-17T14:42:08.6609926Z,1.715659,97.000000,13
2026-07-17T14:42:09.2959475Z,2.460805,98.000000,13
2026-07-17T14:42:09.9764221Z,2.296192,98.000000,13
2026-07-17T14:42:10.6435595Z,2.146922,97.000000,13
2026-07-17T14:42:11.3126326Z,1.946100,97.000000,13
2026-07-17T14:42:11.9193065Z,2.360892,97.000000,13
2026-07-17T14:42:12.5917598Z,2.323581,98.000000,13
2026-07-17T14:42:13.2781619Z,1.896969,92.000000,13
2026-07-17T14:42:13.8762838Z,1.959258,98.000000,13
2026-07-17T14:42:14.5432009Z,2.733348,98.000000,13
2026-07-17T14:42:15.2106591Z,1.950809,97.000000,13
2026-07-17T14:42:15.8617878Z,1.999733,36.000000,13
