timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T13:55:08.2861148Z,18.665250,0.000000,13,0.000000,411.230469
2026-07-18T13:55:08.9751452Z,64.439888,12.000000,13,0.000000,411.230469
2026-07-18T13:55:09.6243066Z,66.391745,16.000000,13,0.000000,411.230469
2026-07-18T13:55:10.2537208Z,65.578504,16.000000,13,0.000000,411.230469
2026-07-18T13:55:10.9022304Z,66.659255,12.000000,13,0.000000,411.230469
2026-07-18T13:55:11.5733218Z,65.968411,16.000000,13,0.000000,411.230469
2026-07-18T13:55:12.2026672Z,65.999463,16.000000,13,0.000000,411.617188
2026-07-18T13:55:12.8363189Z,65.550930,12.000000,13,0.000000,411.230469
2026-07-18T13:55:13.4510644Z,65.872449,16.000000,13,0.000000,411.230469
2026-07-18T13:55:14.0908005Z,65.538092,12.000000,13,0.000000,411.617188
2026-07-18T13:55:14.7092190Z,65.691761,12.000000,13,0.000000,411.617188
2026-07-18T13:55:15.3258934Z,66.299844,12.000000,13,0.000000,411.617188
2026-07-18T13:55:15.9524488Z,65.669905,12.000000,13,0.000000,411.230469
2026-07-18T13:55:16.6087556Z,65.073733,16.000000,13,0.000000,411.230469
2026-07-18T13:55:17.2183624Z,65.573347,8.000000,13,0.000000,411.230469
