timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb
2026-07-18T05:19:31.9894232Z,22.871634,0.000000,0,0.000000,0.000000
2026-07-18T05:19:32.6201749Z,65.645879,0.000000,0,0.000000,0.000000
2026-07-18T05:19:33.2326265Z,66.544374,0.000000,0,0.000000,0.000000
2026-07-18T05:19:33.8689323Z,65.686774,0.000000,0,0.000000,0.000000
2026-07-18T05:19:34.4841949Z,65.605456,0.000000,0,0.000000,0.000000
2026-07-18T05:19:35.1186858Z,66.490315,0.000000,0,0.000000,0.000000
2026-07-18T05:19:35.7281684Z,66.013985,0.000000,0,0.000000,0.000000
2026-07-18T05:19:36.3518928Z,66.176731,0.000000,0,0.000000,0.000000
2026-07-18T05:19:36.9878979Z,64.898916,0.000000,0,0.000000,0.000000
2026-07-18T05:19:37.6368817Z,67.011817,0.000000,0,0.000000,0.000000
2026-07-18T05:19:38.2878586Z,64.806447,0.000000,0,0.000000,0.000000
2026-07-18T05:19:38.9381518Z,64.073662,0.000000,0,0.000000,0.000000
2026-07-18T05:19:39.5853135Z,61.566916,0.000000,0,0.000000,0.000000
2026-07-18T05:19:40.2360465Z,62.429599,0.000000,0,0.000000,0.000000
2026-07-18T05:19:40.8690367Z,66.442248,0.000000,0,0.000000,0.000000
2026-07-18T05:19:41.5169976Z,65.309046,0.000000,0,0.000000,0.000000
2026-07-18T05:19:42.1702295Z,66.576025,0.000000,0,0.000000,0.000000
