timestamp_utc,gpu_percent,gpu_engine_count,gpu_dedicated_mb,gpu_shared_mb,gpu_engine_query_ok,gpu_memory_query_ok
2026-07-30T20:56:23.1438787Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:25.3748265Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:27.0561683Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:28.8095055Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:30.5624671Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:32.3104174Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:34.0639323Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:35.8406090Z,0.000000,0,0.000000,0.000000,true,true
2026-07-30T20:56:37.5594776Z,0.000000,13,0.000000,1.667969,true,true
2026-07-30T20:56:39.3117539Z,0.000000,13,0.000000,1.667969,true,true
