timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T14:41:38.2601245Z,1.739088,98.000000,13
2026-07-17T14:41:38.9765940Z,2.362569,99.000000,13
2026-07-17T14:41:39.5951262Z,1.684094,98.000000,13
2026-07-17T14:41:40.2785685Z,2.476739,99.000000,13
2026-07-17T14:41:40.8948008Z,2.746867,93.000000,13
2026-07-17T14:41:41.5632765Z,1.753055,97.000000,13
2026-07-17T14:41:42.2621006Z,2.049574,92.000000,13
2026-07-17T14:41:42.9268566Z,2.742234,99.000000,13
2026-07-17T14:41:43.5926213Z,2.542502,97.000000,13
2026-07-17T14:41:44.2598548Z,2.146612,95.000000,13
2026-07-17T14:41:44.9313126Z,1.357432,97.000000,13
2026-07-17T14:41:45.5971512Z,1.955554,97.000000,13
2026-07-17T14:41:46.2777364Z,2.295818,96.000000,13
2026-07-17T14:41:46.9443445Z,2.343956,100.000000,13
2026-07-17T14:41:47.6110870Z,1.757613,97.000000,13
2026-07-17T14:41:48.2814816Z,2.330717,100.000000,13
2026-07-17T14:41:48.9788562Z,2.427258,99.000000,13
2026-07-17T14:41:49.6447227Z,2.542114,98.000000,13
2026-07-17T14:41:50.3102846Z,2.152004,98.000000,13
2026-07-17T14:41:50.9620825Z,1.797912,92.000000,13
2026-07-17T14:41:51.6615378Z,2.233881,98.000000,13
2026-07-17T14:41:52.3768573Z,2.184339,98.000000,13
2026-07-17T14:41:53.0123496Z,2.663617,98.000000,13
