timestamp_utc,cpu_percent,gpu_percent,gpu_engine_count
2026-07-17T15:57:10.4879669Z,1.877765,94.000000,13
2026-07-17T15:57:11.1308761Z,1.620239,100.000000,13
2026-07-17T15:57:11.7557997Z,2.291947,98.000000,13
2026-07-17T15:57:12.4216984Z,2.346453,98.000000,13
2026-07-17T15:57:13.0709674Z,1.804914,98.000000,13
2026-07-17T15:57:13.7213498Z,2.202230,97.000000,13
2026-07-17T15:57:14.3712617Z,2.404172,94.000000,13
2026-07-17T15:57:15.0384685Z,1.561235,100.000000,13
2026-07-17T15:57:15.7061078Z,2.145308,98.000000,13
2026-07-17T15:57:16.3874356Z,2.484426,98.000000,13
2026-07-17T15:57:17.0383770Z,2.400370,95.000000,13
2026-07-17T15:57:17.6718092Z,2.055600,98.000000,13
2026-07-17T15:57:18.3563587Z,2.282523,93.000000,13
2026-07-17T15:57:19.0051717Z,2.608931,98.000000,13
2026-07-17T15:57:19.6555519Z,1.401424,91.000000,13
2026-07-17T15:57:20.2893560Z,2.054394,97.000000,13
2026-07-17T15:57:20.9363362Z,2.213811,99.000000,13
2026-07-17T15:57:21.5725425Z,1.637310,92.000000,13
2026-07-17T15:57:22.2550733Z,2.289274,94.000000,13
2026-07-17T15:57:22.8876373Z,2.264264,94.000000,13
2026-07-17T15:57:23.5551425Z,1.755604,98.000000,13
2026-07-17T15:57:24.1858440Z,2.477400,99.000000,13
2026-07-17T15:57:24.8356712Z,2.204112,95.000000,13
2026-07-17T15:57:25.4561010Z,1.888812,96.000000,13
